snp1	snp2	snp3	snp4	snp5	snp6	snp7	snp8	snp9	snp10	snp11	snp12	snp13	snp14	snp15	snp16	snp17	snp18	snp19	snp20	snp21	snp22	snp23	snp24	snp25	snp26	snp27	snp28	snp29	snp30	snp31	snp32	snp33	snp34	snp35	snp36	snp37	snp38	snp39	snp40	snp41	snp42	snp43	snp44	snp45	snp46	snp47	snp48	snp49	snp50
-0.000865	0.002314	-0.001197	0.005841	0.010651	0.001433	-0.005241	0.008155	0.003748	-0.001557	0.00902	0.000694	-0.00517	-0.004678	-0.004632	0.005572	0.002725	0.004997	0.008603	-0.002094	0.625684	0.631457	0.398812	0.631873	1.0	0.557681	0.338883	0.622689	0.63043	-0.006817	-0.009958	-0.000162	-0.004335	-0.0088	-0.006846	-0.001736	0.011733	-0.018973	0.006642	-0.01312	0.007404	-0.00465	-0.008696	0.004619	-0.007005	-0.004729	-0.000347	-0.004443	0.007606	0.009771
-0.000176	0.007857	0.008507	0.002987	0.005286	0.008333	0.001209	-0.000862	0.008573	-0.000701	0.008144	0.005688	0.003034	0.008236	-8e-05	0.005371	0.007988	0.013403	0.006821	0.000987	0.564981	0.576845	0.526561	0.539266	0.557681	1.0	0.471046	0.509689	0.575543	-0.010539	-0.007618	-0.004719	-0.010177	-0.009121	0.005226	0.009955	0.005989	-0.011312	0.015376	-0.002673	-0.003481	-0.019639	-0.012492	0.012285	-0.003062	-0.002893	0.004186	-0.006742	0.013941	0.004997
-0.001603	0.007075	-0.002451	0.006869	0.005595	0.00963	0.001799	0.007795	0.006074	0.00868	0.018287	-0.005882	0.009274	0.00403	0.002041	0.009805	0.015503	0.012588	0.003291	0.005232	0.351496	0.362945	0.55652	0.323388	0.338883	0.471046	1.0	0.294793	0.360556	0.004218	-0.007504	-0.0037	-0.002324	0.000317	-0.008069	0.002233	0.003882	-0.008728	0.012533	-0.008009	0.004752	-0.003724	-0.021894	0.004656	-0.002476	0.000732	-0.01157	0.001532	0.009697	0.00317
-0.005465	0.004926	0.006458	0.001613	0.012517	0.007161	0.009588	0.007477	0.004434	0.006024	-0.000878	-0.001839	-0.006231	-0.000234	-0.009751	0.006474	0.007235	0.003319	0.004603	-0.002723	0.616055	0.618017	0.352167	0.63544	0.622689	0.509689	0.294793	1.0	0.610537	-0.006192	-0.012789	-0.010802	-0.009216	-0.009205	0.004553	0.003237	0.01276	-0.007481	0.014875	-0.014208	-0.005411	-0.010166	-0.006233	0.007002	-0.00803	-0.007584	-0.000583	-0.001176	0.001977	0.014343
0.002633	0.004471	0.016489	0.005074	0.00589	0.011614	0.004191	0.002677	0.006483	0.005717	0.002391	0.012781	0.001323	0.000365	-0.012288	0.004438	0.006393	-0.006835	0.007435	-0.003787	0.627089	0.625458	0.425047	0.622141	0.63043	0.575543	0.360556	0.610537	1.0	-0.002669	-0.013556	0.008078	-0.003011	-0.021039	-0.006212	0.009232	0.010972	-0.012233	0.015872	-0.005233	0.009673	-0.010848	-0.010137	0.005961	-0.005492	-0.004007	-0.00275	-0.009597	0.003165	0.000689
0.005584	0.002636	-0.007422	-0.013685	0.003411	0.010499	-0.001126	0.006501	-0.001387	-0.001482	-0.001155	-0.004978	0.005718	-0.003703	0.012429	0.004219	0.007632	0.005063	0.017789	-0.005405	-0.00967	-0.004875	-0.004382	-0.003313	-0.006817	-0.010539	0.004218	-0.006192	-0.002669	1.0	0.134513	0.186971	0.150032	0.116657	0.004446	-0.006126	0.001619	0.003723	0.005081	0.003848	0.000475	0.000616	0.016746	0.006373	0.00181	-0.001088	0.006753	0.006669	0.003638	-0.009926
0.006778	0.00934	0.009434	0.007959	0.001526	0.012137	0.00787	0.002317	-0.000297	0.003039	0.003909	0.011936	0.002566	-0.008571	0.001871	0.00732	0.003553	0.003032	0.011514	0.001433	-0.003063	-0.012241	-0.00575	-0.000504	-0.009958	-0.007618	-0.007504	-0.012789	-0.013556	0.134513	1.0	0.119862	0.126049	0.109585	-0.008582	-0.005771	0.008332	0.000591	-0.006784	-0.008262	0.002166	-0.002621	0.00176	0.003159	-0.010544	-0.006774	-0.003662	-0.013632	0.002459	0.003573
0.004634	0.014378	-0.002149	-0.001666	-0.00236	0.000373	-0.002519	0.007648	-0.001777	-0.00822	-0.003128	-0.000332	-0.002336	-0.005637	0.014152	0.007682	-0.010048	0.006053	0.011931	-0.009191	-0.005844	-0.003428	-0.010507	-0.003042	-0.000162	-0.004719	-0.0037	-0.010802	0.008078	0.186971	0.119862	1.0	0.156343	0.108032	-0.007659	0.00292	0.007857	0.001446	0.013174	0.000783	0.008162	0.001355	0.007183	0.015367	-0.006129	-0.002587	0.00577	-0.01244	-0.006282	-0.004448
0.000538	0.003429	-0.00852	0.007984	-0.003279	0.002252	-0.006001	-0.004129	-0.008336	-0.014275	0.002202	-0.004097	0.005556	-0.001905	0.002996	-0.008462	-0.000361	0.001737	0.007604	0.001679	-0.005782	-0.004145	-0.010215	-0.005698	-0.004335	-0.010177	-0.002324	-0.009216	-0.003011	0.150032	0.126049	0.156343	1.0	0.1306	0.011666	0.003961	0.002447	0.00128	-0.004565	0.005266	-0.00181	-0.0038	0.006612	0.014429	-0.005283	-0.004832	0.012059	0.006387	0.006676	-0.020562
0.012258	-0.003664	-0.00221	-0.007188	0.005516	0.002553	0.010206	0.010027	0.004991	-0.004295	0.01218	0.007669	-0.000294	0.003238	0.012702	-0.01291	-0.008321	0.001252	0.001596	-0.003704	-0.012154	-0.0157	-0.011329	-0.003546	-0.0088	-0.009121	0.000317	-0.009205	-0.021039	0.116657	0.109585	0.108032	0.1306	1.0	0.001494	0.006677	0.005945	0.003144	-0.008	-0.005314	0.002815	-0.007472	-0.012159	0.0043	-0.003462	-0.006425	0.004005	0.003052	0.004325	0.002401
-0.00191	-0.001276	-0.003285	0.003983	-0.002925	-0.005486	-0.001516	-0.009959	-0.003851	0.002156	-0.011496	-0.00074	-0.010769	0.008427	-0.0023	-0.008163	0.003539	-0.011755	5.9e-05	0.005252	0.001668	0.004506	0.009756	0.001637	-0.006846	0.005226	-0.008069	0.004553	-0.006212	0.004446	-0.008582	-0.007659	0.011666	0.001494	1.0	0.160861	0.17489	0.153893	0.145465	-0.004526	0.006164	0.001768	-0.00516	0.011343	0.008569	0.009504	-0.005519	0.001607	0.00575	0.00869
-0.001129	-0.002095	-0.004053	-0.010728	0.005693	-0.002497	0.005681	-0.006857	-0.006091	0.010267	0.000197	-0.000627	0.000283	0.004788	0.006564	-0.006952	0.000305	-0.012575	0.003047	-0.001095	0.007794	0.003882	0.002401	0.003152	-0.001736	0.009955	0.002233	0.003237	0.009232	-0.006126	-0.005771	0.00292	0.003961	0.006677	0.160861	1.0	0.152601	0.152244	0.146395	0.005762	-0.00906	0.001782	-0.006829	-0.008615	-0.002273	0.001406	-0.004307	-0.008712	-0.009843	0.00687
-0.003248	-0.000333	0.018988	5.8e-05	0.006175	-0.004114	0.004651	-0.004186	0.005249	-0.007947	-0.015386	-0.005663	-0.000991	0.000647	-0.005236	-0.007539	-0.002927	-0.003345	-0.007208	0.014268	0.011867	0.012912	0.00724	0.020564	0.011733	0.005989	0.003882	0.01276	0.010972	0.001619	0.008332	0.007857	0.002447	0.005945	0.17489	0.152601	1.0	0.184916	0.148587	0.002622	-0.005319	0.004275	-0.001397	0.000326	0.015055	-0.007796	-0.002894	-0.007025	-0.005746	-0.001916
0.009303	0.000418	0.002681	0.002847	0.005063	-0.009753	-0.013245	-0.002956	0.007386	-0.004066	-0.006246	0.008104	0.003459	-0.008872	0.004527	-0.002003	0.003295	-0.003866	-0.004809	0.002201	-0.007999	-0.007532	-0.006687	-0.010275	-0.018973	-0.011312	-0.008728	-0.007481	-0.012233	0.003723	0.000591	0.001446	0.00128	0.003144	0.153893	0.152244	0.184916	1.0	0.151889	-0.007061	-0.015769	0.000391	-0.020802	-0.009915	0.009461	0.004781	0.012487	-0.007847	0.001651	0.004696
-0.010353	-0.000648	0.005588	-0.001887	-0.001734	0.00413	0.006525	-0.006805	0.003837	0.000944	-0.010847	-0.001285	0.00115	-0.002218	-0.004483	0.002525	-0.00286	-0.001834	-0.00362	-0.00191	0.015378	0.012392	0.015502	0.007431	0.006642	0.015376	0.012533	0.014875	0.015872	0.005081	-0.006784	0.013174	-0.004565	-0.008	0.145465	0.146395	0.148587	0.151889	1.0	0.001601	0.004061	-0.005061	-0.005671	0.002815	-0.001693	0.000761	0.009125	-0.00085	-0.004554	-0.005345
0.007428	0.0005	-0.003087	0.010422	-0.001908	-0.013714	-0.006571	0.001574	0.002108	-0.002221	0.0126	0.004832	0.001215	-0.000545	0.006661	-0.011377	-0.003841	0.0025	-0.016697	0.002573	-0.011807	-0.01156	-0.009712	-0.018473	-0.01312	-0.002673	-0.008009	-0.014208	-0.005233	0.003848	-0.008262	0.000783	0.005266	-0.005314	-0.004526	0.005762	0.002622	-0.007061	0.001601	1.0	0.195836	0.193871	0.190422	0.195194	-0.002499	0.000532	-0.002252	0.00115	-0.010946	-0.009247
-0.010239	-0.001808	-0.00576	0.002211	-0.005734	-0.001067	-0.005111	0.00269	0.005291	-0.000635	0.008653	-0.007777	-0.005118	0.002263	0.002504	-0.012781	-0.004083	-0.009203	0.001041	-0.004935	-0.009106	-0.002445	-0.005167	-0.00179	0.007404	-0.003481	0.004752	-0.005411	0.009673	0.000475	0.002166	0.008162	-0.00181	0.002815	0.006164	-0.00906	-0.005319	-0.015769	0.004061	0.195836	1.0	0.191918	0.190062	0.190394	0.004069	0.001186	-0.005377	0.001957	0.006632	-0.006012
-0.005758	-0.003853	-0.002756	0.006374	-0.009542	-0.003753	-0.001907	0.000298	0.007198	-0.002575	0.015526	0.017597	0.003071	0.007379	0.012893	-0.004767	-0.009864	-0.003986	-0.013485	0.00291	-0.003508	-0.008238	-0.005609	-0.005635	-0.00465	-0.019639	-0.003724	-0.010166	-0.010848	0.000616	-0.002621	0.001355	-0.0038	-0.007472	0.001768	0.001782	0.004275	0.000391	-0.005061	0.193871	0.191918	1.0	0.178132	0.177739	0.010511	0.002925	-0.003039	0.001811	-0.009395	-0.001893
0.000835	0.011387	-0.011096	-0.000148	0.006728	-0.012399	-0.002184	-0.010241	-0.002739	-0.007926	7.5e-05	0.010104	-0.002901	0.002174	-0.002217	0.004323	-0.013309	-0.002006	0.002689	-0.001679	-0.010112	-0.005687	-0.009545	-0.010567	-0.008696	-0.012492	-0.021894	-0.006233	-0.010137	0.016746	0.00176	0.007183	0.006612	-0.012159	-0.00516	-0.006829	-0.001397	-0.020802	-0.005671	0.190422	0.190062	0.178132	1.0	0.185569	-0.008684	-0.007346	0.001724	-0.005276	-0.014912	0.006327
0.015947	-0.000832	0.003744	-0.004371	-0.004214	-0.012311	-0.008921	-0.002083	-0.000746	0.000651	0.003998	0.012639	-0.001187	-0.003428	-0.002813	0.000699	-0.005974	-0.005356	0.00258	-0.004692	0.003907	0.007283	-0.000232	0.008698	0.004619	0.012285	0.004656	0.007002	0.005961	0.006373	0.003159	0.015367	0.014429	0.0043	0.011343	-0.008615	0.000326	-0.009915	0.002815	0.195194	0.190394	0.177739	0.185569	1.0	-0.010206	0.010866	0.002324	-0.002102	-0.006071	0.00432
0.00469	0.008026	0.004163	0.000307	0.003268	-0.001184	-0.005157	-0.007375	0.005668	-0.004485	0.004437	0.002384	-0.002149	-0.009577	0.001553	0.005183	0.01458	0.007577	0.00496	0.021469	-0.002444	-0.010092	0.000331	-0.004618	-0.007005	-0.003062	-0.002476	-0.00803	-0.005492	0.00181	-0.010544	-0.006129	-0.005283	-0.003462	0.008569	-0.002273	0.015055	0.009461	-0.001693	-0.002499	0.004069	0.010511	-0.008684	-0.010206	1.0	0.161805	0.180631	0.16606	0.1657	-0.011906
0.00688	0.010926	3.6e-05	0.009088	-0.006867	-0.007073	-0.003829	0.006654	0.001494	-0.001255	0.001301	0.002311	0.014185	0.002063	0.005613	0.006076	0.012987	-0.002819	-0.00013	-0.007037	-0.0004	-0.005229	0.000303	-0.000186	-0.004729	-0.002893	0.000732	-0.007584	-0.004007	-0.001088	-0.006774	-0.002587	-0.004832	-0.006425	0.009504	0.001406	-0.007796	0.004781	0.000761	0.000532	0.001186	0.002925	-0.007346	0.010866	0.161805	1.0	0.168124	0.151711	0.161387	0.010987
0.005188	0.012283	0.011328	0.017473	0.00537	-0.002676	-0.004031	-0.000638	-0.000185	-0.007979	0.003818	-0.00527	0.000547	-0.002485	0.011058	0.005444	0.005823	0.002948	0.004953	-0.004974	-0.008181	0.004009	-0.00872	-0.004258	-0.000347	0.004186	-0.01157	-0.000583	-0.00275	0.006753	-0.003662	0.00577	0.012059	0.004005	-0.005519	-0.004307	-0.002894	0.012487	0.009125	-0.002252	-0.005377	-0.003039	0.001724	0.002324	0.180631	0.168124	1.0	0.175155	0.182714	0.004428
0.004517	0.008639	0.007538	0.005893	0.012141	-0.009615	-0.00996	-0.003007	0.002625	0.001955	-0.000192	-0.007341	-0.002968	-0.009872	0.001606	-0.002138	0.004184	-0.011471	-0.001032	-0.002573	-0.004542	-0.007911	-0.00749	-0.003845	-0.004443	-0.006742	0.001532	-0.001176	-0.009597	0.006669	-0.013632	-0.01244	0.006387	0.003052	0.001607	-0.008712	-0.007025	-0.007847	-0.00085	0.00115	0.001957	0.001811	-0.005276	-0.002102	0.16606	0.151711	0.175155	1.0	0.186105	0.004316
-0.002772	0.007411	0.014096	0.010357	-0.005327	-0.005881	-0.004602	-0.003984	-0.002926	-0.004258	0.000829	0.00812	0.009213	-0.001951	-0.005757	0.016867	0.018808	0.004084	0.001928	-0.000624	0.007015	0.005134	0.014962	-0.000104	0.007606	0.013941	0.009697	0.001977	0.003165	0.003638	0.002459	-0.006282	0.006676	0.004325	0.00575	-0.009843	-0.005746	0.001651	-0.004554	-0.010946	0.006632	-0.009395	-0.014912	-0.006071	0.1657	0.161387	0.182714	0.186105	1.0	-0.008399
-0.000471	0.006999	0.00703	0.001836	0.002224	0.011751	0.011491	0.009418	0.007995	-0.003016	0.014293	0.000125	-0.000653	0.00325	-0.009006	0.004816	0.004642	-0.00389	0.000815	-0.009717	1.8e-05	0.000205	0.003052	0.003327	0.009771	0.004997	0.00317	0.014343	0.000689	-0.009926	0.003573	-0.004448	-0.020562	0.002401	0.00869	0.00687	-0.001916	0.004696	-0.005345	-0.009247	-0.006012	-0.001893	0.006327	0.00432	-0.011906	0.010987	0.004428	0.004316	-0.008399	1.0
