locusA_snp1	locusA_snp2	locusA_snp3	locusA_snp4	locusA_snp5	locusA_snp6	locusA_snp7	locusA_snp8	locusA_snp9	locusA_snp10	locusA_snp11	locusA_snp12	locusA_snp13	locusA_snp14	locusA_snp15	locusA_snp16	locusA_snp17	locusA_snp18	locusA_snp19	locusA_snp20	locusA_snp21	locusA_snp22	locusA_snp23	locusA_snp24	locusA_snp25	locusA_snp26	locusA_snp27	locusA_snp28	locusA_snp29	locusA_snp30
0.008712	-0.000891	0.0089	0.01082	0.006165	0.001967	0.000557	-0.000511	0.009091	0.003148	1.0	0.847845	0.717615	0.964101	0.786781	0.514143	0.616105	0.590167	0.59523	0.765722	0.9422	0.830668	0.636919	0.495	0.504507	-0.007647	-0.003009	-0.002691	0.000959	0.001992
0.008038	0.00266	0.004581	0.010709	0.00512	0.003444	0.003368	0.001148	0.010438	0.003146	0.847845	1.0	0.60978	0.828288	0.927002	0.60482	0.72817	0.50187	0.702698	0.902271	0.800638	0.70463	0.541562	0.583774	0.594537	-0.004733	0.00048	0.000784	-0.00066	0.004961
0.003053	-0.001518	0.007372	0.007443	0.004479	0.003201	0.002469	-0.00437	0.007198	-0.001526	0.717615	0.60978	1.0	0.734277	0.564931	0.368556	0.440047	0.821537	0.424234	0.549646	0.758911	0.864545	0.887518	0.354705	0.36159	-0.002339	0.008541	0.004433	0.01018	0.00217
0.01011	0.001175	0.008887	0.010661	0.004817	0.004041	0.001618	0.000224	0.010532	0.002865	0.964101	0.828288	0.734277	1.0	0.768659	0.503457	0.602063	0.602882	0.581691	0.748214	0.958949	0.850128	0.650832	0.484246	0.493757	-0.008899	-0.000492	-0.000654	0.001434	0.002273
0.009214	0.004349	0.005205	0.011703	0.006932	0.003217	0.001328	-0.000151	0.010244	0.00393	0.786781	0.927002	0.564931	0.768659	1.0	0.65199	0.784578	0.465242	0.75728	0.963222	0.742737	0.653366	0.501546	0.629251	0.640639	-0.007246	0.001405	-5.7e-05	-0.001383	0.004959
0.009176	0.001746	-0.000383	0.009206	0.003586	-0.002033	-0.004293	-0.003644	0.000478	-0.003934	0.514143	0.60482	0.368556	0.503457	0.65199	1.0	0.831525	0.304138	0.861682	0.669429	0.485281	0.426416	0.327327	0.959057	0.968697	-0.009167	-0.001863	0.00025	-0.009855	-0.002571
0.007953	0.002754	0.002958	0.00524	0.005803	0.000641	-0.001318	-0.002892	0.00341	0.001611	0.616105	0.72817	0.440047	0.602063	0.784578	0.831525	1.0	0.362614	0.959382	0.806024	0.580982	0.509757	0.39016	0.802695	0.818047	-0.009047	0.000302	-0.0008	-0.002661	0.005686
-0.003471	-0.001548	0.002889	0.007033	0.000777	0.000144	0.003123	-0.000811	0.005839	0.000841	0.590167	0.50187	0.821537	0.602882	0.465242	0.304138	0.362614	1.0	0.349692	0.45334	0.623766	0.710538	0.924147	0.292974	0.298468	-0.003564	0.007247	0.004334	0.007139	0.003475
0.010675	0.004255	0.002096	0.00784	0.004136	0.000348	-0.002984	-0.002765	0.00359	0.000621	0.59523	0.702698	0.424234	0.581691	0.75728	0.861682	0.959382	0.349692	1.0	0.777916	0.560929	0.49221	0.3765	0.831908	0.84788	-0.011216	-0.000264	-0.000443	-0.003892	0.004197
0.008109	0.00357	0.005471	0.013075	0.007095	0.005099	0.00053	0.001456	0.008819	0.0038	0.765722	0.902271	0.549646	0.748214	0.963222	0.669429	0.806024	0.45334	0.777916	1.0	0.722598	0.636143	0.488278	0.646115	0.657895	-0.007642	0.001912	-0.000201	8.9e-05	0.004503
0.007347	9.9e-05	0.010191	0.010271	0.005668	0.004351	0.000979	0.001133	0.008643	0.002193	0.9422	0.800638	0.758911	0.958949	0.742737	0.485281	0.580982	0.623766	0.560929	0.722598	1.0	0.878741	0.673562	0.467141	0.47597	-0.007257	-0.0007	-0.002629	0.001632	0.001614
0.005669	-0.000582	0.004301	0.007767	0.005368	0.003337	0.003718	-0.004196	0.004593	-0.000654	0.830668	0.70463	0.864545	0.850128	0.653366	0.426416	0.509757	0.710538	0.49221	0.636143	0.878741	1.0	0.767881	0.410625	0.418654	-0.008701	0.002225	-0.000651	0.005957	0.003607
-0.002377	6e-05	0.005966	0.00738	0.003001	0.003311	0.002845	-0.004723	0.006389	-0.002782	0.636919	0.541562	0.887518	0.650832	0.501546	0.327327	0.39016	0.924147	0.3765	0.488278	0.673562	0.767881	1.0	0.314629	0.320996	-0.005444	0.007942	0.004285	0.008923	0.002519
0.011274	0.00258	-0.000788	0.008773	0.001624	-0.001422	-0.0042	-0.003261	-0.000733	-0.004736	0.495	0.583774	0.354705	0.484246	0.629251	0.959057	0.802695	0.292974	0.831908	0.646115	0.467141	0.410625	0.314629	1.0	0.967777	-0.00976	-0.002062	0.001794	-0.008719	-0.002626
0.01006	0.002101	-0.001204	0.007255	0.002294	-0.001967	-0.003412	-0.002905	0.000145	-0.003866	0.504507	0.594537	0.36159	0.493757	0.640639	0.968697	0.818047	0.298468	0.84788	0.657895	0.47597	0.418654	0.320996	0.967777	1.0	-0.01064	-0.001212	0.0008	-0.00991	-0.001896
-0.002048	0.00212	-0.009921	-0.016247	-0.001572	-0.010122	-0.000562	0.002106	-0.006432	-0.000603	-0.007647	-0.004733	-0.002339	-0.008899	-0.007246	-0.009167	-0.009047	-0.003564	-0.011216	-0.007642	-0.007257	-0.008701	-0.005444	-0.00976	-0.01064	1.0	0.183516	0.172664	0.182824	0.156574
0.000648	0.006026	-0.001219	-0.002689	0.001306	-0.003186	0.000163	-0.003951	0.00101	0.004203	-0.003009	0.00048	0.008541	-0.000492	0.001405	-0.001863	0.000302	0.007247	-0.000264	0.001912	-0.0007	0.002225	0.007942	-0.002062	-0.001212	0.183516	1.0	0.17669	0.189374	0.1577
-0.002737	0.004013	0.002007	0.006382	0.002368	0.003921	-0.004321	-0.001044	-0.0042	0.004419	-0.002691	0.000784	0.004433	-0.000654	-5.7e-05	0.00025	-0.0008	0.004334	-0.000443	-0.000201	-0.002629	-0.000651	0.004285	0.001794	0.0008	0.172664	0.17669	1.0	0.188314	0.162346
-0.000429	0.002612	0.003543	-0.006697	0.002016	0.003917	0.010077	0.001866	0.007807	0.003668	0.000959	-0.00066	0.01018	0.001434	-0.001383	-0.009855	-0.002661	0.007139	-0.003892	8.9e-05	0.001632	0.005957	0.008923	-0.008719	-0.00991	0.182824	0.189374	0.188314	1.0	0.15695
0.000395	0.007655	0.003212	0.000388	0.003616	0.001131	-0.00062	0.000423	-0.003765	-0.002263	0.001992	0.004961	0.00217	0.002273	0.004959	-0.002571	0.005686	0.003475	0.004197	0.004503	0.001614	0.003607	0.002519	-0.002626	-0.001896	0.156574	0.1577	0.162346	0.15695	1.0
